Campaign Name,Send size (K),Campaign delivery date,,,,,
campaign_05/06/2015_backfill,579,5/10/2015,,,,,
campaign_05/30/2015_backfill,369,6/17/2015,,,,,
campaign_06/16/2015_backfill,493,7/4/2015,,,,,
campaign_07/15/2015_backfill,757,8/10/2015,,,,,
campaign_08/17/2015_backfill,543,9/6/2015,,,,,
campaign_09/16/2015_backfill,608,10/13/2015,,,,,
campaign_10/23/2015_backfill,725,11/1/2015,,,,,
campaign_11/11/2015_backfill,474,11/20/2015,,,,,
campaign_11/12/2015_backfill,613,11/26/2015,,,,,
campaign_11/14/2015_backfill,349,12/12/2015,,,,,
campaign_11/15/2015_backfill,305,12/14/2015,,,,,
campaign_11/16/2015_backfill,605,12/18/2015,,,,,
campaign_11/17/2015_backfill,741,12/23/2015,,,,,
campaign_12/17/2015_backfill,615,1/16/2016,,,,,
campaign_12/18/2015_backfill,474,1/20/2016,,,,,
campaign_12/19/2015_backfill,490,1/31/2016,,,,,
campaign_12/20/2015_backfill,292,2/6/2016,,,,,
campaign_12/21/2015_backfill,352,2/10/2016,,,,,
campaign_12/22/2015_backfill,733,2/16/2016,,,,,
Mar 1.0 - 160226020010002,434,2/21/2016,,,,,
Mar 2.0 - 160304040010002,580,2/21/2016,,,,,
Mar 3.0 - 160311060010002,446,2/27/2016,,,,,
Mar 4.0 - 160318080010002,587,3/8/2016,,,,,
Mar 5.0 - 160325100010002,750,3/9/2016,,,,,
Mar 6.0 - 160312001000002,565,3/18/2016,,,,,
Apr 1.0 - 160325001000002,384,3/15/2016,,,,,
Apr 2.0 - 160325002000002,242,3/16/2016,,,,,
Apr 3.0 - 160325003000002,510,3/17/2016,,,,,
May Random Send - 160425999000000,765,5/5/2016,,,,,
May Selected Send - 160506999000000,580,5/5/2016,,,,,
160526001000000,594,5/23/2016,,,,,
160526999000000,505,5/23/2016,,,,,
160616999000000,726,6/15/2016,,,,,
160616000000000,596,6/15/2016,,,,,
160616000000001,535,6/15/2016,,,,,
160616000000002,550,6/15/2016,,,,,
160616000000003,797,6/15/2016,,,,,
160716000000000,418,7/17/2016,,,,,
160722999000000,795,7/17/2016,,,,,
160818000000001,531,8/7/2016,,,,,
160818000000002,515,8/7/2016,,,,,
160818000000003,692,8/7/2016,,,,,
160818000000004,507,8/7/2016,,,,,
160818000000005,751,8/7/2016,,,,,
160818999000000,359,8/7/2016,,,,,
160915000000001,677,9/11/2016,,,,,
160915000000002,799,9/11/2016,,,,,
160915000000003,588,9/11/2016,,,,,
160915000000004,790,9/11/2016,,,,,
160915000000005,700,9/11/2016,,,,,
160915999000000,252,9/11/2016,,,,,
161018000000000,785,10/14/2016,,,,,
161018000000001,286,10/14/2016,,,,,
161018000000002,388,10/14/2016,,,,,
161020000000000,781,10/18/2016,,,,,
161020000000001,723,10/18/2016,,,,,
161020000000002,222,10/18/2016,,,,,
161018999000000,322,10/14/2016,,,,,
161107999000000,312,11/4/2016,,,,,
161107000000013,409,11/4/2016,,,,,
161107000000010,362,11/4/2016,,,,,
161107000000020,212,11/4/2016,,,,,
161107000000030,625,11/4/2016,,,,,
161121000000011,597,11/17/2016,,,,,
161207000000000,346,12/5/2016,,,,,
161207001000000,781,12/5/2016,,,,,
161207999000000,743,12/5/2016,,,,,
170106999000000,571,1/5/2017,,,,,
170106000000000,506,1/5/2017,,,,,
170106001000000,554,1/5/2017,,,,,
170106000000001,364,1/5/2017,,,,,
170106000000002,622,1/5/2017,,,,,
170203000000000,668,2/3/2017,,,,,
170203000000001,458,2/3/2017,,,,,
170203000000002,798,2/3/2017,,,,,
170203000000003,266,2/3/2017,,,,,
170203999000000,674,2/3/2017,,,,,
170303000000000,435,3/3/2017,,,,,
170303000000001,210,3/3/2017,,,,,
170303000000002,467,3/3/2017,,,,,
170303000000003,681,3/3/2017,,,,,
170303000000004,520,3/3/2017,,,,,
170303000000005,547,3/3/2017,,,,,
170303000000006,217,3/3/2017,,,,,
170303999000000,749,3/3/2017,,,,,
